Training values,Testing Values,K number
1.0,0.7601693701435887,1
0.8791997577012653,0.7913667776703549,3
0.8561216984186427,0.8016749024241773,5
0.846393941338044,0.8069251978372185,7
0.8409049201264609,0.8103134959000251,9
0.8370391810780204,0.8112937300819995,11
0.8342819885803293,0.8127484155118703,13
0.8322946615203052,0.8129587854048054,15
0.8306952511536791,0.8141449135245461,17
0.8296448921069397,0.8140464425108318,19
0.8286795763352913,0.8143687112829878,21
0.8274546547765227,0.8142165288072475,23
0.8266459976695159,0.8144224227450138,25
0.8257343934400303,0.8145522254449099,27
0.82500779563355,0.8142747162244423,29
0.82437220905129,0.814498513982884,31
0.823830617667815,0.814525369713897,33
0.8232308387803302,0.8144179467898449,35
0.8225161768721083,0.8142165288072475,37
0.8221387040896864,0.8140732982418448,39
0.8216597761720679,0.8142657643141046,41
0.8213240790335503,0.8141135818383644,43
0.8209018466326593,0.8138360726178967,45
0.8205840533415293,0.8138763562144161,47
0.820328923516256,0.813773409245533,49
0.8200573818308773,0.8135809431732732,51
0.8196843850103022,0.8135272317112472,53
0.8194173192867704,0.813182583163247,55
0.8191413016395448,0.8129990690013249,57
0.8187966525773335,0.812645468542987,59
0.8183848640874185,0.8125335696637662,61
0.8180909425928053,0.8126544204533247,63
0.8178716204623072,0.8124440505603896,65
0.8175553191584595,0.8122247287571168,67
0.817304665295033,0.8122292047122855,69
0.8171659104777791,0.8119203638056361,71
0.8169540482836924,0.8115846671679736,73
0.816837673275673,0.8114235327818956,75
0.8164631844678156,0.8113295377233501,77
0.8163020498413271,0.8110341246822071,79
0.8160767597616998,0.8108058509685967,81
0.8157365866613353,0.8106178608515057,83
0.8155694840857176,0.8107655673720772,85
0.8154113334337938,0.8105954810756616,87
0.815238262909047,0.8105641493894797,89
0.8149876090456205,0.8103493035413757,91
0.8147966346734861,0.8103045439896874,93
0.8144698894586623,0.8101165538725964,95
0.8143042788703269,0.809937515665843,97
0.8140745128288527,0.8099643713968561,99
0.8140551169941828,0.8097629534142586,101
0.813862650634766,0.8096107709385183,103
0.8137149438938183,0.8096152468936871,105
0.8136015528603634,0.8095883911626741,107
0.8135612692037413,0.8095749632971676,109
0.813376262780736,0.8096286747591936,111
0.8132971874547741,0.8095167758799728,113
0.813058469489606,0.8093287857628818,115
0.8129987899983141,0.8091721273319726,117
0.8128525752446486,0.809082608228596,119
0.8126496649742557,0.8088811902459985,121
0.8125765575974231,0.8088588104701543,123
0.8124392947674514,0.808733483725427,125
0.8123438075813841,0.80902889676657,127
0.8120752498705701,0.808787195187453,129
0.8119887146081967,0.8086126329358685,131
0.8117902802996507,0.8085141619221542,133
0.811623177724033,0.8082993160740503,135
0.8115112786778605,0.8080799942707774,137
0.8114008716189703,0.8080710423604397,139
0.8112695767381278,0.8079367637053747,141
0.8111218699971802,0.8077756293192967,143
0.811051746594912,0.8076144949332188,145
0.8109711792816678,0.8075384036953486,147
0.8108100446551794,0.8074399326816343,149
0.8106683058633608,0.8073593654885952,151
0.8104325718727573,0.8073459376230888,153
0.8104370478346042,0.8072787982955563,155
0.810281881157245,0.8071176639094783,157
0.81020728179313,0.8070147169405951,159
0.8101461103145556,0.806911769971712,161
0.8100028795354548,0.8067327317649586,163
0.8099297721586222,0.8068177749131664,165
0.8098387609344018,0.8066387367064132,167
0.8096627064350903,0.8062761843377376,169
0.8096104868802099,0.8063791313066209,171
0.8095284275796834,0.8061374297275038,173
0.8093568490422187,0.8059986751172701,175
0.8092374900596347,0.8059986751172701,177
0.8091927304411657,0.8058554445518674,179
0.8091479708226967,0.8058464926415297,181
0.8091076871660746,0.8059091560138933,183
0.8090017560690312,0.8058957281483868,185
0.8089226807430694,0.8057480216278153,187
0.8088585252899304,0.8055734593762309,189
0.8087734820148393,0.8057748773588284,191
0.80863771117215,0.805515271959036,193
0.8085064162913075,0.8054168009453218,195
0.8085004483421784,0.805354137572958,197
0.8083810893595943,0.8053988971246464,199
